Training on: ['S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'S9', 'S10', 'S11', 'S13', 'S14']
Validation on: ['S15', 'S16', 'S17']
Loading Subjects: ['S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'S9', 'S10', 'S11', 'S13', 'S14']...
Finished loading. Total segments: 52772
Loading Subjects: ['S15', 'S16', 'S17']...
Finished loading. Total segments: 6721
Total Train Samples: 52772
Total Val Samples: 6721
Using device: cuda
Epoch [75/100] | Loss: 0.0245 | Train Acc: 99.28% | Val Acc: 95.36% | Time: 42.9s
Epoch [76/100] | Loss: 0.0240 | Train Acc: 99.23% | Val Acc: 87.99% | Time: 42.9s
Epoch [77/100] | Loss: 0.0193 | Train Acc: 99.35% | Val Acc: 90.06% | Time: 42.7s
Epoch [78/100] | Loss: 0.0245 | Train Acc: 99.29% | Val Acc: 92.26% | Time: 42.7s
Epoch [79/100] | Loss: 0.0211 | Train Acc: 99.36% | Val Acc: 90.18% | Time: 42.5s
Epoch [80/100] | Loss: 0.0220 | Train Acc: 99.30% | Val Acc: 90.63% | Time: 42.4s
Epoch [81/100] | Loss: 0.0213 | Train Acc: 99.33% | Val Acc: 92.68% | Time: 42.6s
Epoch [82/100] | Loss: 0.0229 | Train Acc: 99.29% | Val Acc: 95.89% | Time: 43.6s
Epoch [83/100] | Loss: 0.0198 | Train Acc: 99.38% | Val Acc: 91.09% | Time: 43.5s
Epoch [84/100] | Loss: 0.0225 | Train Acc: 99.29% | Val Acc: 91.25% | Time: 10843.8s
Epoch [85/100] | Loss: 0.0219 | Train Acc: 99.32% | Val Acc: 93.36% | Time: 10315.8s
Epoch [86/100] | Loss: 0.0193 | Train Acc: 99.38% | Val Acc: 90.28% | Time: 43.1s
Epoch [87/100] | Loss: 0.0212 | Train Acc: 99.30% | Val Acc: 92.47% | Time: 42.0s
Epoch [88/100] | Loss: 0.0214 | Train Acc: 99.37% | Val Acc: 90.64% | Time: 42.2s
Epoch [89/100] | Loss: 0.0215 | Train Acc: 99.41% | Val Acc: 87.40% | Time: 43.1s
